# Catálogo taxonómico de arranque de ProTerr.
#
# Escrito para este proyecto a partir de la nomenclatura zoológica de uso
# corriente en Chile. Contiene nombre común, nombre científico y clasificación,
# que son hechos científicos de dominio público.
#
# La columna nombres_alternativos lleva los otros nombres con que se conoce a la
# MISMA especie, separados por ";". Son sinónimos, no especies distintas: así
# "Rana chilena" y "Rana grande chilena" llevan al mismo taxón y la app no
# pregunta una ambigüedad que no existe.
#
# NO es una lista exhaustiva ni autoritativa: es un punto de partida para que la
# app funcione desde el primer día. Cada organización debe cargar su propio
# catálogo (Ajustes -> Catálogo de especies, o tools/construir_catalogo.py) con
# la lista que use en sus informes.
nombre_comun,nombre_cientifico,clase,orden,familia,nombres_alternativos
Chucao,Scelorchilus rubecula,Aves,Passeriformes,Rhinocryptidae,
Tapaculo,Scelorchilus albicollis,Aves,Passeriformes,Rhinocryptidae,
Hued-hued del sur,Pteroptochos tarnii,Aves,Passeriformes,Rhinocryptidae,
Turca,Pteroptochos megapodius,Aves,Passeriformes,Rhinocryptidae,
Churrín del sur,Scytalopus magellanicus,Aves,Passeriformes,Rhinocryptidae,
Rayadito,Aphrastura spinicauda,Aves,Passeriformes,Furnariidae,
Tijeral,Leptasthenura aegithaloides,Aves,Passeriformes,Furnariidae,
Churrete,Cinclodes patagonicus,Aves,Passeriformes,Furnariidae,
Bandurrilla,Upucerthia dumetaria,Aves,Passeriformes,Furnariidae,
Canastero,Asthenes humicola,Aves,Passeriformes,Furnariidae,
Picaflor chico,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,
Picaflor gigante,Patagona gigas,Aves,Apodiformes,Trochilidae,
Picaflor de Arica,Eulidia yarrellii,Aves,Apodiformes,Trochilidae,
Zorzal,Turdus falcklandii,Aves,Passeriformes,Turdidae,Zorzal patagónico
Chercán,Troglodytes aedon,Aves,Passeriformes,Troglodytidae,
Diucón,Xolmis pyrope,Aves,Passeriformes,Tyrannidae,
Fío-fío,Elaenia albiceps,Aves,Passeriformes,Tyrannidae,
Cachudito,Anairetes parulus,Aves,Passeriformes,Tyrannidae,
Colegial,Lessonia rufa,Aves,Passeriformes,Tyrannidae,
Run-run,Hymenops perspicillatus,Aves,Passeriformes,Tyrannidae,
Siete colores,Tachuris rubrigastra,Aves,Passeriformes,Tyrannidae,
